"";"Deaths";"Crude.Rate"
"Delaware-2012";125;13,632
"Delaware-2013";122;13,184
"Delaware-2014";126;13,477
"Delaware-2015";122;12,923
"Delaware-2016";119;12,499
"District of Columbia-1990";37;6,069
"District of Columbia-1991";34;5,632
"District of Columbia-1992";34;5,666
"District of Columbia-1993";43;7,194
"District of Columbia-1994";29;4,905
"District of Columbia-1995";39;6,698
"District of Columbia-1996";35;6,098
"District of Columbia-1997";35;6,15
"District of Columbia-1998";43;7,589
"District of Columbia-1999";30;5,261
"District of Columbia-2000";23;4,021
"District of Columbia-2001";40;6,963
"District of Columbia-2002";31;5,409
"District of Columbia-2003";36;6,332
"District of Columbia-2004";33;5,812
"District of Columbia-2005";32;5,642
"District of Columbia-2006";30;5,257
"District of Columbia-2007";35;6,093
"District of Columbia-2008";43;7,411
"District of Columbia-2009";29;4,897
"District of Columbia-2010";41;6,814
"District of Columbia-2011";37;5,963
"District of Columbia-2012";37;5,824
"District of Columbia-2013";38;5,854
"District of Columbia-2014";52;7,891
"District of Columbia-2015";34;5,072
"District of Columbia-2016";40;5,872
"Florida-1990";2086;16,105
"Florida-1991";2095;15,667
"Florida-1992";2027;14,845
"Florida-1993";2130;15,288
"Florida-1994";2075;14,567
"Florida-1995";2165;14,885
"Florida-1996";2153;14,488
"Florida-1997";2098;13,808
"Florida-1998";2172;14,016
"Florida-1999";2027;12,862
"Florida-2000";2086;13,052
"Florida-2001";2309;14,116
"Florida-2002";2334;13,985
"Florida-2003";2292;13,479
"Florida-2004";2384;13,689
"Florida-2005";2338;13,104
"Florida-2006";2426;13,354
"Florida-2007";2583;14,063
"Florida-2008";2737;14,773
"Florida-2009";2852;15,29
"Florida-2010";2786;14,818
"Florida-2011";2876;15,06
"Florida-2012";2998;15,498
"Florida-2013";2918;14,901
"Florida-2014";3029;15,23
"Florida-2015";3200;15,806
"Florida-2016";3137;15,219
"Georgia-1990";880;13,573
"Georgia-1991";893;13,417
"Georgia-1992";811;11,891
"Georgia-1993";856;12,261
"Georgia-1994";835;11,66
"Georgia-1995";825;11,25
"Georgia-1996";867;11,55
"Georgia-1997";903;11,74
"Georgia-1998";822;10,444
"Georgia-1999";872;10,838
"Georgia-2000";846;10,334
"Georgia-2001";931;11,114
"Georgia-2002";903;10,613
"Georgia-2003";963;11,168
"Georgia-2004";966;11,016
"Georgia-2005";924;10,352
"Georgia-2006";921;10,059
"Georgia-2007";996;10,652
"Georgia-2008";980;10,311
"Georgia-2009";1132;11,766
"Georgia-2010";1129;11,654
"Georgia-2011";1157;11,792
"Georgia-2012";1165;11,75
"Georgia-2013";1203;12,048
"Georgia-2014";1292;12,808
"Georgia-2015";1317;12,913
"Georgia-2016";1403;13,608
"Hawaii-1990";125;11,262
"Hawaii-1991";107;9,407
"Hawaii-1992";129;11,126
"Hawaii-1993";120;10,224
"Hawaii-1994";138;11,608
"Hawaii-1995";142;11,853
"Hawaii-1996";127;10,534
"Hawaii-1997";138;11,376
"Hawaii-1998";116;9,53
"Hawaii-1999";136;11,237
"Hawaii-2000";137;11,308
"Hawaii-2001";136;11,093
"Hawaii-2002";120;9,68
"Hawaii-2003";130;10,39
"Hawaii-2004";116;9,108
"Hawaii-2005";107;8,277
"Hawaii-2006";120;9,162
"Hawaii-2007";133;10,109
"Hawaii-2008";133;9,983
"Hawaii-2009";174;12,92
"Hawaii-2010";207;15,217
"Hawaii-2011";180;13,064
"Hawaii-2012";190;13,651
"Hawaii-2013";171;12,158
"Hawaii-2014";204;14,403
"Hawaii-2015";201;14,104
"Hawaii-2016";174;12,18
"Idaho-1990";192;19,072
"Idaho-1991";165;15,84
"Idaho-1992";168;15,671
"Idaho-1993";189;17,044
"Idaho-1994";201;17,55
"Idaho-1995";186;15,795
"Idaho-1996";177;14,708
"Idaho-1997";209;17,012
"Idaho-1998";201;16,046
"Idaho-1999";181;14,189
"Idaho-2000";166;12,829
"Idaho-2001";209;15,834
"Idaho-2002";202;15,07
"Idaho-2003";216;15,843
"Idaho-2004";236;16,956
"Idaho-2005";228;15,964
"Idaho-2006";222;15,116
"Idaho-2007";223;14,816
"Idaho-2008";252;16,424
"Idaho-2009";304;19,557
"Idaho-2010";290;18,5
"Idaho-2011";281;17,738
"Idaho-2012";297;18,61
"Idaho-2013";308;19,107
"Idaho-2014";320;19,589
"Idaho-2015";359;21,72
"Idaho-2016";351;20,854
"Illinois-1990";1158;10,12
"Illinois-1991";1189;10,271
"Illinois-1992";1142;9,762
"Illinois-1993";1160;9,817
"Illinois-1994";1068;8,96
"Illinois-1995";1118;9,305
"Illinois-1996";1061;8,762
"Illinois-1997";901;7,39
"Illinois-1998";1036;8,435
"Illinois-1999";1020;8,253
"Illinois-2000";1002;8,068
"Illinois-2001";1138;9,112
"Illinois-2002";1140;9,101
"Illinois-2003";1007;8,02
"Illinois-2004";1026;8,149
"Illinois-2005";1084;8,596
"Illinois-2006";1008;7,972
"Illinois-2007";1106;8,711
"Illinois-2008";1197;9,39
"Illinois-2009";1176;9,19
"Illinois-2010";1177;9,173
"Illinois-2011";1221;9,495
"Illinois-2012";1291;10,03
"Illinois-2013";1319;10,241
"Illinois-2014";1396;10,849
"Illinois-2015";1361;10,6
"Illinois-2016";1413;11,038
"Indiana-1990";728;13,125
"Indiana-1991";703;12,51
"Indiana-1992";695;12,245
"Indiana-1993";731;12,733
"Indiana-1994";718;12,39
"Indiana-1995";698;11,926
"Indiana-1996";738;12,491
"Indiana-1997";729;12,239
"Indiana-1998";699;11,648
"Indiana-1999";628;10,389
"Indiana-2000";682;11,216
"Indiana-2001";715;11,668
"Indiana-2002";743;12,07
"Indiana-2003";736;11,877
"Indiana-2004";703;11,279
"Indiana-2005";745;11,866
"Indiana-2006";822;12,98
"Indiana-2007";790;12,383
"Indiana-2008";809;12,592
"Indiana-2009";826;12,788
"Indiana-2010";864;13,326
"Indiana-2011";878;13,474
"Indiana-2012";940;14,378
"Indiana-2013";943;14,355
"Indiana-2014";947;14,359
"Indiana-2015";959;14,502
"Indiana-2016";1033;15,574
"Iowa-1990";336;12,101
"Iowa-1991";335;11,97
"Iowa-1992";287;10,181
"Iowa-1993";318;11,206
"Iowa-1994";322;11,292
"Iowa-1995";335;11,68
"Iowa-1996";321;11,142
"Iowa-1997";345;11,932
"Iowa-1998";329;11,331
"Iowa-1999";305;10,454
"Iowa-2000";289;9,876
"Iowa-2001";303;10,334
"Iowa-2002";314;10,701
"Iowa-2003";352;11,965
"Iowa-2004";343;11,613
"Iowa-2005";332;11,199
"Iowa-2006";334;11,198
"Iowa-2007";322;10,736
"Iowa-2008";380;12,596
"Iowa-2009";361;11,903
"Iowa-2010";371;12,178
"Iowa-2011";422;13,767
"Iowa-2012";383;12,45
"Iowa-2013";447;14,457
"Iowa-2014";407;13,095
"Iowa-2015";432;13,837
"Iowa-2016";450;14,355
"Kansas-1990";297;11,986
"Kansas-1991";310;12,402
"Kansas-1992";311;12,276
"Kansas-1993";336;13,137
"Kansas-1994";292;11,311
"Kansas-1995";291;11,183
"Kansas-1996";334;12,77
"Kansas-1997";320;12,14
"Kansas-1998";325;12,21
"Kansas-1999";299;11,164
"Kansas-2000";325;12,089
"Kansas-2001";292;10,806
"Kansas-2002";344;12,677
"Kansas-2003";347;12,743
"Kansas-2004";370;13,531
"Kansas-2005";361;13,15
"Kansas-2006";379;13,717
"Kansas-2007";382;13,722
"Kansas-2008";337;12,001
"Kansas-2009";381;13,45
"Kansas-2010";401;14,055
"Kansas-2011";394;13,731
"Kansas-2012";502;17,399
"Kansas-2013";424;14,657
"Kansas-2014";455;15,693
"Kansas-2015";477;16,41
"Kansas-2016";514;17,68
"Kentucky-1990";549;14,889
"Kentucky-1991";490;13,156
"Kentucky-1992";493;13,089
"Kentucky-1993";523;13,715
"Kentucky-1994";517;13,428
"Kentucky-1995";480;12,346
"Kentucky-1996";488;12,447
"Kentucky-1997";488;12,344
"Kentucky-1998";526;13,192
"Kentucky-1999";470;11,697
"Kentucky-2000";520;12,866
"Kentucky-2001";492;12,094
"Kentucky-2002";539;13,179
"Kentucky-2003";567;13,772
"Kentucky-2004";560;13,507
"Kentucky-2005";566;13,532
"Kentucky-2006";619;14,671
"Kentucky-2007";649;15,247
