"";"Deaths";"Crude.Rate"
"North Carolina-1999";884;11,12
"North Carolina-2000";971;12,063
"North Carolina-2001";997;12,144
"North Carolina-2002";986;11,842
"North Carolina-2003";953;11,315
"North Carolina-2004";1025;11,984
"North Carolina-2005";1008;11,579
"North Carolina-2006";1098;12,313
"North Carolina-2007";1074;11,779
"North Carolina-2008";1160;12,46
"North Carolina-2009";1173;12,413
"North Carolina-2010";1172;12,291
"North Carolina-2011";1213;12,569
"North Carolina-2012";1283;13,164
"North Carolina-2013";1279;12,996
"North Carolina-2014";1352;13,609
"North Carolina-2015";1403;13,981
"North Carolina-2016";1370;13,502
"North Dakota-1990";73;11,436
"North Dakota-1991";74;11,632
"North Dakota-1992";65;10,179
"North Dakota-1993";79;12,315
"North Dakota-1994";80;12,403
"North Dakota-1995";94;14,506
"North Dakota-1996";77;11,836
"North Dakota-1997";80;12,309
"North Dakota-1998";72;11,118
"North Dakota-1999";73;11,331
"North Dakota-2000";68;10,589
"North Dakota-2001";79;12,362
"North Dakota-2002";91;14,26
"North Dakota-2003";81;12,68
"North Dakota-2004";73;11,323
"North Dakota-2005";92;14,24
"North Dakota-2006";90;13,858
"North Dakota-2007";95;14,552
"North Dakota-2008";86;13,078
"North Dakota-2009";90;13,534
"North Dakota-2010";106;15,76
"North Dakota-2011";101;14,734
"North Dakota-2012";105;14,955
"North Dakota-2013";128;17,679
"North Dakota-2014";137;18,516
"North Dakota-2015";124;16,384
"North Dakota-2016";140;18,471
"Ohio-1990";1188;10,949
"Ohio-1991";1237;11,296
"Ohio-1992";1194;10,824
"Ohio-1993";1155;10,402
"Ohio-1994";1101;9,87
"Ohio-1995";1077;9,612
"Ohio-1996";1054;9,373
"Ohio-1997";1126;9,983
"Ohio-1998";1108;9,792
"Ohio-1999";1102;9,722
"Ohio-2000";1087;9,574
"Ohio-2001";1218;10,696
"Ohio-2002";1285;11,264
"Ohio-2003";1072;9,375
"Ohio-2004";1316;11,491
"Ohio-2005";1340;11,689
"Ohio-2006";1319;11,488
"Ohio-2007";1293;11,243
"Ohio-2008";1410;12,244
"Ohio-2009";1174;10,183
"Ohio-2010";1436;12,447
"Ohio-2011";1462;12,664
"Ohio-2012";1537;13,306
"Ohio-2013";1525;13,181
"Ohio-2014";1491;12,86
"Ohio-2015";1649;14,209
"Ohio-2016";1705;14,68
"Oklahoma-1990";392;12,46
"Oklahoma-1991";442;13,914
"Oklahoma-1992";472;14,652
"Oklahoma-1993";491;15,092
"Oklahoma-1994";451;13,741
"Oklahoma-1995";502;15,167
"Oklahoma-1996";467;13,975
"Oklahoma-1997";497;14,728
"Oklahoma-1998";471;13,823
"Oklahoma-1999";492;14,314
"Oklahoma-2000";497;14,403
"Oklahoma-2001";515;14,854
"Oklahoma-2002";501;14,359
"Oklahoma-2003";475;13,552
"Oklahoma-2004";505;14,325
"Oklahoma-2005";513;14,456
"Oklahoma-2006";535;14,886
"Oklahoma-2007";530;14,583
"Oklahoma-2008";574;15,645
"Oklahoma-2009";566;15,225
"Oklahoma-2010";617;16,447
"Oklahoma-2011";691;18,25
"Oklahoma-2012";667;17,474
"Oklahoma-2013";665;17,262
"Oklahoma-2014";733;18,904
"Oklahoma-2015";790;20,218
"Oklahoma-2016";821;20,925
"Oregon-1990";449;15,792
"Oregon-1991";453;15,466
"Oregon-1992";488;16,308
"Oregon-1993";465;15,189
"Oregon-1994";512;16,4
"Oregon-1995";497;15,604
"Oregon-1996";520;16,008
"Oregon-1997";534;16,158
"Oregon-1998";545;16,248
"Oregon-1999";477;14,054
"Oregon-2000";493;14,409
"Oregon-2001";503;14,504
"Oregon-2002";517;14,715
"Oregon-2003";591;16,66
"Oregon-2004";554;15,521
"Oregon-2005";559;15,471
"Oregon-2006";576;15,691
"Oregon-2007";590;15,85
"Oregon-2008";571;15,151
"Oregon-2009";642;16,857
"Oregon-2010";684;17,854
"Oregon-2011";654;16,908
"Oregon-2012";723;18,543
"Oregon-2013";695;17,704
"Oregon-2014";781;19,681
"Oregon-2015";760;18,884
"Oregon-2016";771;18,835
"Pennsylvania-1990";1452;12,215
"Pennsylvania-1991";1397;11,653
"Pennsylvania-1992";1389;11,524
"Pennsylvania-1993";1412;11,647
"Pennsylvania-1994";1326;10,896
"Pennsylvania-1995";1459;11,958
"Pennsylvania-1996";1428;11,681
"Pennsylvania-1997";1412;11,545
"Pennsylvania-1998";1370;11,183
"Pennsylvania-1999";1284;10,47
"Pennsylvania-2000";1356;11,041
"Pennsylvania-2001";1270;10,326
"Pennsylvania-2002";1336;10,834
"Pennsylvania-2003";1338;10,812
"Pennsylvania-2004";1410;11,361
"Pennsylvania-2005";1426;11,454
"Pennsylvania-2006";1390;11,11
"Pennsylvania-2007";1435;11,422
"Pennsylvania-2008";1536;12,179
"Pennsylvania-2009";1628;12,852
"Pennsylvania-2010";1574;12,391
"Pennsylvania-2011";1745;13,692
"Pennsylvania-2012";1646;12,888
"Pennsylvania-2013";1786;13,973
"Pennsylvania-2014";1812;14,167
"Pennsylvania-2015";1894;14,806
"Pennsylvania-2016";1967;15,386
"Rhode Island-1990";127;12,649
"Rhode Island-1991";82;8,112
"Rhode Island-1992";73;7,209
"Rhode Island-1993";90;8,867
"Rhode Island-1994";82;8,072
"Rhode Island-1995";89;8,756
"Rhode Island-1996";83;8,133
"Rhode Island-1997";72;7,025
"Rhode Island-1998";86;8,339
"Rhode Island-1999";96;9,227
"Rhode Island-2000";75;7,154
"Rhode Island-2001";87;8,23
"Rhode Island-2002";86;8,068
"Rhode Island-2003";84;7,841
"Rhode Island-2004";84;7,817
"Rhode Island-2005";70;6,555
"Rhode Island-2006";90;8,466
"Rhode Island-2007";96;9,08
"Rhode Island-2008";110;10,427
"Rhode Island-2009";117;11,104
"Rhode Island-2010";128;12,161
"Rhode Island-2011";100;9,502
"Rhode Island-2012";105;9,972
"Rhode Island-2013";132;12,535
"Rhode Island-2014";111;10,527
"Rhode Island-2015";126;11,936
"Rhode Island-2016";126;11,927
"South Carolina-1990";434;12,437
"South Carolina-1991";420;11,758
"South Carolina-1992";465;12,838
"South Carolina-1993";491;13,399
"South Carolina-1994";468;12,626
"South Carolina-1995";436;11,628
"South Carolina-1996";497;13,088
"South Carolina-1997";432;11,19
"South Carolina-1998";449;11,452
"South Carolina-1999";418;10,517
"South Carolina-2000";442;11,017
"South Carolina-2001";467;11,488
"South Carolina-2002";437;10,638
"South Carolina-2003";475;11,445
"South Carolina-2004";480;11,399
"South Carolina-2005";510;11,943
"South Carolina-2006";524;12,024
"South Carolina-2007";528;11,881
"South Carolina-2008";565;12,475
"South Carolina-2009";616;13,421
"South Carolina-2010";637;13,772
"South Carolina-2011";658;14,082
"South Carolina-2012";673;14,256
"South Carolina-2013";695;14,577
"South Carolina-2014";753;15,595
"South Carolina-2015";739;15,098
"South Carolina-2016";815;16,428
"South Dakota-1990";91;13,078
"South Dakota-1991";95;13,494
"South Dakota-1992";79;11,078
"South Dakota-1993";117;16,194
"South Dakota-1994";97;13,267
"South Dakota-1995";86;11,647
"South Dakota-1996";124;16,696
"South Dakota-1997";127;17,06
"South Dakota-1998";115;15,405
"South Dakota-1999";103;13,726
"South Dakota-2000";95;12,585
"South Dakota-2001";105;13,853
"South Dakota-2002";94;12,368
"South Dakota-2003";102;13,356
"South Dakota-2004";111;14,408
"South Dakota-2005";121;15,603
"South Dakota-2006";125;15,964
"South Dakota-2007";100;12,632
"South Dakota-2008";123;15,392
"South Dakota-2009";129;15,984
"South Dakota-2010";140;17,195
"South Dakota-2011";128;15,526
"South Dakota-2012";141;16,898
"South Dakota-2013";147;17,398
"South Dakota-2014";141;16,538
"South Dakota-2015";172;20,049
"South Dakota-2016";163;18,834
"Tennessee-1990";653;13,379
"Tennessee-1991";662;13,323
"Tennessee-1992";650;12,868
"Tennessee-1993";673;13,095
"Tennessee-1994";660;12,611
"Tennessee-1995";681;12,779
"Tennessee-1996";691;12,75
"Tennessee-1997";729;13,251
"Tennessee-1998";744;13,348
"Tennessee-1999";726;12,875
"Tennessee-2000";728;12,796
"Tennessee-2001";710;12,346
"Tennessee-2002";778;13,423
"Tennessee-2003";761;13,013
"Tennessee-2004";792;13,399
"Tennessee-2005";856;14,288
"Tennessee-2006";871;14,305
"Tennessee-2007";842;13,634
"Tennessee-2008";973;15,574
"Tennessee-2009";941;14,922
"Tennessee-2010";941;14,828
"Tennessee-2011";954;14,912
"Tennessee-2012";977;15,137
"Tennessee-2013";1028;15,828
"Tennessee-2014";996;15,219
"Tennessee-2015";1068;16,194
"Tennessee-2016";1108;16,659
"Texas-1990";2206;12,97
"Texas-1991";2249;12,921
"Texas-1992";2258;12,709
"Texas-1993";2266;12,471
"Texas-1994";2337;12,583
"Texas-1995";2234;11,778
"Texas-1996";2223;11,487
"Texas-1997";2146;10,865
"Texas-1998";2133;10,574
"Texas-1999";2004;9,748
"Texas-2000";2048;9,822
"Texas-2001";2221;10,418
"Texas-2002";2307;10,636
"Texas-2003";2358;10,703
"Texas-2004";2293;10,239
"Texas-2005";2410;10,58
"Texas-2006";2344;10,034
"Texas-2007";2432;10,205
"Texas-2008";2547;10,478
"Texas-2009";2806;11,314
"Texas-2010";2886;11,477
"Texas-2011";2887;11,257
"Texas-2012";3029;11,618
"Texas-2013";3054;11,536
"Texas-2014";3248;12,054
"Texas-2015";3400;12,395
"Texas-2016";3477;12,479
"Utah-1990";264;15,319
"Utah-1991";286;16,065
"Utah-1992";256;13,929
"Utah-1993";260;13,692
"Utah-1994";291;14,839
"Utah-1995";288;14,295
"Utah-1996";287;13,868
"Utah-1997";301;14,196
"Utah-1998";336;15,5
"Utah-1999";281;12,753
"Utah-2000";298;13,344
"Utah-2001";319;13,968
"Utah-2002";340;14,625
"Utah-2003";336;14,236
"Utah-2004";376;15,656
"Utah-2005";344;13,997
"Utah-2006";362;14,334
"Utah-2007";378;14,551
"Utah-2008";390;14,645
"Utah-2009";448;16,45
"Utah-2010";471;17,041
"Utah-2011";500;17,755
"Utah-2012";549;19,224
"Utah-2013";579;19,947
"Utah-2014";559;19,002
"Utah-2015";629;21,032
"Utah-2016";619;20,287
"Vermont-1990";84;14,934
"Vermont-1991";92;16,178
"Vermont-1992";80;13,963
"Vermont-1993";92;15,919
"Vermont-1994";58;9,93
"Vermont-1995";76;12,904
"Vermont-1996";66;11,113
"Vermont-1997";73;12,219
"Vermont-1998";86;14,317
"Vermont-1999";63;10,419
"Vermont-2000";77;12,647
"Vermont-2001";72;11,76
"Vermont-2002";90;14,624
"Vermont-2003";83;13,434
"Vermont-2004";93;15,002
"Vermont-2005";77;12,395
"Vermont-2006";81;13,004
"Vermont-2007";89;14,275
"Vermont-2008";94;15,06
"Vermont-2009";87;13,924
"Vermont-2010";106;16,94
"Vermont-2011";120;19,147
"Vermont-2012";87;13,888
"Vermont-2013";111;17,699
"Vermont-2014";124;19,777
"Vermont-2015";103;16,451
"Vermont-2016";117;18,732
"Virginia-1990";799;12,905
"Virginia-1991";793;12,58
"Virginia-1992";812;12,653
"Virginia-1993";783;12,023
"Virginia-1994";821;12,445
"Virginia-1995";827;12,392
"Virginia-1996";829;12,273
"Virginia-1997";762;11,154
"Virginia-1998";827;11,977
"Virginia-1999";791;11,3
"Virginia-2000";768;10,85
"Virginia-2001";796;11,058
"Virginia-2002";799;10,965
"Virginia-2003";807;10,954
"Virginia-2004";828;11,076
"Virginia-2005";865;11,416
"Virginia-2006";874;11,39
"Virginia-2007";878;11,328
"Virginia-2008";947;12,089
"Virginia-2009";962;12,137
"Virginia-2010";961;12,011
"Virginia-2011";1053;12,984
"Virginia-2012";1062;12,964
"Virginia-2013";1068;12,926
"Virginia-2014";1121;13,478
"Virginia-2015";1116;13,337
"Virginia-2016";1163;13,826
"Washington-1990";677;13,906
"Washington-1991";692;13,767
"Washington-1992";694;13,446
"Washington-1993";690;13,067
"Washington-1994";759;14,117
"Washington-1995";781;14,245
"Washington-1996";773;13,872
"Washington-1997";728;12,826
"Washington-1998";708;12,267
"Washington-1999";815;13,949
"Washington-2000";726;12,317
"Washington-2001";711;11,878
"Washington-2002";811;13,4
"Washington-2003";801;13,122
"Washington-2004";829;13,417
"Washington-2005";820;13,105
"Washington-2006";808;12,683
"Washington-2007";862;13,34
"Washington-2008";885;13,486
"Washington-2009";919;13,783
"Washington-2010";955;14,202
"Washington-2011";1020;14,95
"Washington-2012";1038;15,054
"Washington-2013";1025;14,71
"Washington-2014";1114;15,792
"Washington-2015";1134;15,837
"Washington-2016";1134;15,56
"West Virginia-1990";219;12,206
"West Virginia-1991";240;13,337
"West Virginia-1992";240;13,283
"West Virginia-1993";269;14,797
"West Virginia-1994";258;14,17
"West Virginia-1995";276;15,132
"West Virginia-1996";279;15,303
"West Virginia-1997";262;14,398
"West Virginia-1998";232;12,773
"West Virginia-1999";229;12,639
"West Virginia-2000";244;13,493
"West Virginia-2001";282;15,654
"West Virginia-2002";276;15,287
"West Virginia-2003";266;14,678
"West Virginia-2004";285;15,69
"West Virginia-2005";254;13,952
"West Virginia-2006";265;14,497
"West Virginia-2007";300;16,357
"West Virginia-2008";261;14,182
"West Virginia-2009";251;13,584
"West Virginia-2010";279;15,057
"West Virginia-2011";306;16,496
"West Virginia-2012";326;17,559
"West Virginia-2013";323;17,429
"West Virginia-2014";359;19,421
"West Virginia-2015";340;18,468
"West Virginia-2016";361;19,715
"Wisconsin-1990";620;12,676
"Wisconsin-1991";573;11,536
"Wisconsin-1992";586;11,654
"Wisconsin-1993";589;11,574
"Wisconsin-1994";592;11,522
"Wisconsin-1995";622;11,984
"Wisconsin-1996";601;11,477
"Wisconsin-1997";576;10,924
"Wisconsin-1998";594;11,2
"Wisconsin-1999";593;11,12
"Wisconsin-2000";590;11
"Wisconsin-2001";638;11,8
"Wisconsin-2002";624;11,46
"Wisconsin-2003";645;11,772
"Wisconsin-2004";662;12,006
"Wisconsin-2005";641;11,558
"Wisconsin-2006";667;11,958
"Wisconsin-2007";729;12,993
"Wisconsin-2008";740;13,118
"Wisconsin-2009";722;12,735
"Wisconsin-2010";790;13,891
"Wisconsin-2011";745;13,048
"Wisconsin-2012";723;12,626
"Wisconsin-2013";850;14,801
"Wisconsin-2014";767;13,32
"Wisconsin-2015";874;15,153
"Wisconsin-2016";865;14,969
"Wyoming-1990";81;17,859
"Wyoming-1991";87;18,941
"Wyoming-1992";84;18,009
"Wyoming-1993";105;22,188
"Wyoming-1994";107;22,274
"Wyoming-1995";82;16,901
"Wyoming-1996";88;18,027
"Wyoming-1997";95;19,403
"Wyoming-1998";87;17,721
"Wyoming-1999";98;19,928
"Wyoming-2000";83;16,809
"Wyoming-2001";83;16,779
"Wyoming-2002";105;20,999
"Wyoming-2003";109;21,65
"Wyoming-2004";88;17,285
"Wyoming-2005";90;17,504
"Wyoming-2006";116;22,194
"Wyoming-2007";101;18,883
"Wyoming-2008";124;22,709
"Wyoming-2009";111;19,827
"Wyoming-2010";131;23,242
"Wyoming-2011";131;23,075
"Wyoming-2012";171;29,648
"Wyoming-2013";129;22,139
"Wyoming-2014";120;20,561
"Wyoming-2015";157;26,766
"Wyoming-2016";144;24,594
