"State";"Year.x";"labor force participation rate";"employment-population ratio";"labor force";"employment";"unemployment";"unemployment rate";"n";"Id";"population";"Deaths";"crude_rate";"TOTAL FILINGS";"Post";"TreatPost";"Treat";"NonTreat";"Year.y";"AREA";"DATA TYPE";"TOTAL";"500+";"PercW";"FIPS";"IncidenceRate";"BankrupcyP100k";"TimingCntrl";"Delta";"Abr";"Pairty Law Passed";"Mandated offering laws";"Minimum Mandated Benefit";"Mandated if Offered";"No Law";"AccesstoParity";"NonPairtyLaw";"Pre_Post_Parity";"lcruderate";"Expr";"Expr_No-TreatPost-Period";"Expr_No-TreatPre-Period";"Expr_Treated-Post-Period";"Expr_Treated-Pre-Period";"D_ParityLawPassed";"D_Mandatedofferinglaws";"D_MinimumMandatedBenefit";"D_MandatedifOffered";"D_NoLaw";"D_AccessToParity";"D_NonParityLaw";"lDelta"
"Alabama";"1990";"62,1583333333333";"57,9333333333333";"1910487,250000000";"1780029,666666670";"130457,58333333299";"6,82500000000000";"32";"Alabama_1990";"4043643";"514";"12,711";"25853";"0";"0";"1";"1";"1990";"Alabama";"Employment";"1340644";"647337";"0,482855254638815";"1";"0,00639349220492511";"639,3492204925110";NA;NA;"AL";"0";"2001";"0";"0";"0";"2001";"0";"Pre-Pairty";"2,54246776031253";"Treated-Pre-Period";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";NA
"Alabama";"1991";"61,7666666666667";"57,2500000000000";"1924366,250000000";"1783544,250000000";"140822,00000000000";"7,32500000000000";"32";"Alabama_1991";"4101607";"539";"13,141";"28611";"0";"0";"1";"1";"1991";"Alabama";"Employment";"1351465";"661978";"0,489822525925570";"1";"0,00697555860422512";"697,5558604225120";"2,54246776031253";"0,42999999999999999";"AL";"0";"2001";"0";"0";"0";"2001";"0";"Pre-Pairty";"2,57573711366150";"Treated-Pre-Period";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0,033269353348968966"
"Alabama";"1992";"62,2666666666667";"57,5833333333333";"1962245,833333330";"1814428,250000000";"147817,58333333299";"7,52500000000000";"32";"Alabama_1992";"4155699";"523";"12,585";"26865";"0";"0";"1";"1";"1992";"Alabama";"Employment";"1379106";"675532";"0,489833268798773";"1";"0,00646461642193046";"646,4616421930460";"2,57573711366150";"-0,55599999999999905";"AL";"0";"2001";"0";"0";"0";"2001";"0";"Pre-Pairty";"2,53250562858728";"Treated-Pre-Period";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"-0,043231485074221698"
"Alabama";"1993";"62,5000000000000";"57,9916666666667";"1996874,000000000";"1852598,666666670";"144275,33333333299";"7,24166666666667";"32";"Alabama_1993";"4216208";"551";"13,069";"24260";"0";"0";"1";"1";"1993";"Alabama";"Employment";"1447134";"720773";"0,498069287294749";"1";"0,00575398557186932";"575,3985571869320";"2,53250562858728";"0,48399999999999999";"AL";"0";"2001";"0";"0";"0";"2001";"0";"Pre-Pairty";"2,57024301361490";"Treated-Pre-Period";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0,037737385027619919"
"Alabama";"1994";"62,9583333333333";"59,0916666666667";"2032946,166666670";"1907460,666666670";"125485,50000000000";"6,17500000000000";"32";"Alabama_1994";"4262457";"532";"12,481";"23551";"0";"0";"1";"1";"1994";"Alabama";"Employment";"1478704";"736977";"0,498393863815882";"1";"0,00552521702858234";"552,5217028582340";"2,57024301361490";"-0,58800000000000097";"AL";"0";"2001";"0";"0";"0";"2001";"0";"Pre-Pairty";"2,52420748793632";"Treated-Pre-Period";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"-0,046035525678582268"
"Alabama";"1995";"63,4916666666667";"59,7750000000000";"2065909,583333330";"1945243,583333330";"120666,00000000000";"5,83333333333333";"32";"Alabama_1995";"4298981";"563";"13,096";"26668";"0";"0";"1";"1";"1995";"Alabama";"Employment";"1553301";"782875";"0,504007272254380";"1";"0,00620333051018369";"620,3330510183690";"2,52420748793632";"0,61499999999999999";"AL";"0";"2001";"0";"0";"0";"2001";"0";"Pre-Pairty";"2,57230684006883";"Treated-Pre-Period";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0,048099352132517037"
"Alabama";"1996";"63,6833333333333";"60,3583333333333";"2091619,333333330";"1982776,666666670";"108842,66666666701";"5,20833333333333";"32";"Alabama_1996";"4334219";"513";"11,836";"31672";"0";"0";"1";"1";"1996";"Alabama";"Employment";"1568825";"794202";"0,506240020397431";"1";"0,00730742955074490";"730,7429550744901";"2,57230684006883";"-1,26000000000000001";"AL";"0";"2001";"0";"0";"0";"2001";"0";"Pre-Pairty";"2,47114573453796";"Treated-Pre-Period";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"-0,101161105530870543"
"Alabama";"1997";"64,4166666666667";"61,2416666666667";"2132519,500000000";"2027425,666666670";"105093,83333333299";"4,93333333333333";"32";"Alabama_1997";"4370490";"512";"11,715";"23551";"0";"0";"1";"1";"1997";"Alabama";"Employment";"1591179";"799696";"0,502580790721848";"1";"0,00538864063297250";"538,8640632972500";"2,47114573453796";"-0,12100000000000000";"AL";"0";"2001";"0";"0";"0";"2001";"0";"Pre-Pairty";"2,46087007195976";"Treated-Pre-Period";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"-0,010275662578204336"
"Alabama";"1998";"64,1166666666667";"61,2666666666667";"2142689,250000000";"2047036,333333330";"95652,91666666670";"4,45833333333333";"32";"Alabama_1998";"4408398";"569";"12,907";"32468";"1";"1";"1";"1";"1998";"Alabama";"Employment";"1604110";"814270";"0,507614814445393";"1";"0,00736503373787938";"736,5033737879380";"2,46087007195976";"1,19199999999999995";"AL";"0";"2001";"0";"0";"0";"2001";"0";"Pre-Pairty";"2,55776979985305";"Treated-Post-Period";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0,096899727893291931"
"Alabama";"1999";"63,9583333333333";"60,9416666666667";"2150126,500000000";"2048691,750000000";"101434,75000000000";"4,72500000000000";"32";"Alabama_1999";"4430141";"554";"12,505";"30564";"1";"1";"1";"1";"1999";"Alabama";"Employment";"1633909";"832008";"0,509213181395047";"1";"0,00689910321138763";"689,9103211387630";"2,55776979985305";"-0,40199999999999902";"AL";"0";"2001";"0";"0";"0";"2001";"0";"Pre-Pairty";"2,52612856432958";"Treated-Post-Period";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"-0,031641235523468314"
